iso_code,continent,location,date,total_cases,new_cases
ARG,South America,Argentina,2020-01-01,,
ARG,South America,Argentina,2020-01-02,,
ARG,South America,Argentina,2020-01-03,,
ARG,South America,Argentina,2020-01-04,,
ARG,South America,Argentina,2020-01-05,,
ARG,South America,Argentina,2020-01-06,,
ARG,South America,Argentina,2020-01-07,,
ARG,South America,Argentina,2020-01-08,,
ARG,South America,Argentina,2020-01-09,,
ARG,South America,Argentina,2020-01-10,,
ARG,South America,Argentina,2020-01-11,,
ARG,South America,Argentina,2020-01-12,,
ARG,South America,Argentina,2020-01-13,,
ARG,South America,Argentina,2020-01-14,,
ARG,South America,Argentina,2020-01-15,,
ARG,South America,Argentina,2020-01-16,,
ARG,South America,Argentina,2020-01-17,,
ARG,South America,Argentina,2020-01-18,,
ARG,South America,Argentina,2020-01-19,,
ARG,South America,Argentina,2020-01-20,,
ARG,South America,Argentina,2020-01-21,,
ARG,South America,Argentina,2020-01-22,,
ARG,South America,Argentina,2020-01-23,,
ARG,South America,Argentina,2020-01-24,,
ARG,South America,Argentina,2020-01-25,,
ARG,South America,Argentina,2020-01-26,,
ARG,South America,Argentina,2020-01-27,,
ARG,South America,Argentina,2020-01-28,,
ARG,South America,Argentina,2020-01-29,,
ARG,South America,Argentina,2020-01-30,,
ARG,South America,Argentina,2020-01-31,,
ARG,South America,Argentina,2020-02-01,,
ARG,South America,Argentina,2020-02-02,,
ARG,South America,Argentina,2020-02-03,,
ARG,South America,Argentina,2020-02-04,,
ARG,South America,Argentina,2020-02-05,,
ARG,South America,Argentina,2020-02-06,,
ARG,South America,Argentina,2020-02-07,,
ARG,South America,Argentina,2020-02-08,,
ARG,South America,Argentina,2020-02-09,,
ARG,South America,Argentina,2020-02-10,,
ARG,South America,Argentina,2020-02-11,,
ARG,South America,Argentina,2020-02-12,,
ARG,South America,Argentina,2020-02-13,,
ARG,South America,Argentina,2020-02-14,,
ARG,South America,Argentina,2020-02-15,,
ARG,South America,Argentina,2020-02-16,,
ARG,South America,Argentina,2020-02-17,,
ARG,South America,Argentina,2020-02-18,,
ARG,South America,Argentina,2020-02-19,,
ARG,South America,Argentina,2020-02-20,,
ARG,South America,Argentina,2020-02-21,,
ARG,South America,Argentina,2020-02-22,,
ARG,South America,Argentina,2020-02-23,,
ARG,South America,Argentina,2020-02-24,,
ARG,South America,Argentina,2020-02-25,,
ARG,South America,Argentina,2020-02-26,,
ARG,South America,Argentina,2020-02-27,,
ARG,South America,Argentina,2020-02-28,,
ARG,South America,Argentina,2020-02-29,,
ARG,South America,Argentina,2020-03-01,,
ARG,South America,Argentina,2020-03-02,,
ARG,South America,Argentina,2020-03-03,1.0,1.0
ARG,South America,Argentina,2020-03-04,1.0,0.0
ARG,South America,Argentina,2020-03-05,1.0,0.0
ARG,South America,Argentina,2020-03-06,2.0,1.0
ARG,South America,Argentina,2020-03-07,8.0,6.0
ARG,South America,Argentina,2020-03-08,12.0,4.0
ARG,South America,Argentina,2020-03-09,12.0,0.0
ARG,South America,Argentina,2020-03-10,17.0,5.0
ARG,South America,Argentina,2020-03-11,19.0,2.0
ARG,South America,Argentina,2020-03-12,19.0,0.0
ARG,South America,Argentina,2020-03-13,31.0,12.0
ARG,South America,Argentina,2020-03-14,34.0,3.0
ARG,South America,Argentina,2020-03-15,45.0,11.0
ARG,South America,Argentina,2020-03-16,56.0,11.0
ARG,South America,Argentina,2020-03-17,68.0,12.0
ARG,South America,Argentina,2020-03-18,79.0,11.0
ARG,South America,Argentina,2020-03-19,97.0,18.0
ARG,South America,Argentina,2020-03-20,128.0,31.0
ARG,South America,Argentina,2020-03-21,158.0,30.0
ARG,South America,Argentina,2020-03-22,266.0,108.0
ARG,South America,Argentina,2020-03-23,301.0,35.0
ARG,South America,Argentina,2020-03-24,387.0,86.0
ARG,South America,Argentina,2020-03-25,387.0,0.0
ARG,South America,Argentina,2020-03-26,502.0,115.0
ARG,South America,Argentina,2020-03-27,589.0,87.0
ARG,South America,Argentina,2020-03-28,690.0,101.0
ARG,South America,Argentina,2020-03-29,745.0,55.0
ARG,South America,Argentina,2020-03-30,820.0,75.0
ARG,South America,Argentina,2020-03-31,1054.0,234.0
ARG,South America,Argentina,2020-04-01,1054.0,0.0
ARG,South America,Argentina,2020-04-02,1133.0,79.0
ARG,South America,Argentina,2020-04-03,1265.0,132.0
ARG,South America,Argentina,2020-04-04,1451.0,186.0
ARG,South America,Argentina,2020-04-05,1451.0,0.0
ARG,South America,Argentina,2020-04-06,1554.0,103.0
ARG,South America,Argentina,2020-04-07,1628.0,74.0
ARG,South America,Argentina,2020-04-08,1715.0,87.0
ARG,South America,Argentina,2020-04-09,1795.0,80.0
ARG,South America,Argentina,2020-04-10,1975.0,180.0
ARG,South America,Argentina,2020-04-11,1975.0,0.0
ARG,South America,Argentina,2020-04-12,2142.0,167.0
ARG,South America,Argentina,2020-04-13,2208.0,66.0
ARG,South America,Argentina,2020-04-14,2277.0,69.0
ARG,South America,Argentina,2020-04-15,2443.0,166.0
ARG,South America,Argentina,2020-04-16,2571.0,128.0
ARG,South America,Argentina,2020-04-17,2669.0,98.0
ARG,South America,Argentina,2020-04-18,2758.0,89.0
ARG,South America,Argentina,2020-04-19,2839.0,81.0
ARG,South America,Argentina,2020-04-20,2941.0,102.0
ARG,South America,Argentina,2020-04-21,3031.0,90.0
ARG,South America,Argentina,2020-04-22,3144.0,113.0
ARG,South America,Argentina,2020-04-23,3435.0,291.0
ARG,South America,Argentina,2020-04-24,3607.0,172.0
ARG,South America,Argentina,2020-04-25,3780.0,173.0
ARG,South America,Argentina,2020-04-26,3892.0,112.0
ARG,South America,Argentina,2020-04-27,4003.0,111.0
ARG,South America,Argentina,2020-04-28,4127.0,124.0
ARG,South America,Argentina,2020-04-29,4285.0,158.0
ARG,South America,Argentina,2020-04-30,4428.0,143.0
ARG,South America,Argentina,2020-05-01,4532.0,104.0
ARG,South America,Argentina,2020-05-02,4681.0,149.0
ARG,South America,Argentina,2020-05-03,4783.0,102.0
ARG,South America,Argentina,2020-05-04,4887.0,104.0
ARG,South America,Argentina,2020-05-05,5020.0,133.0
ARG,South America,Argentina,2020-05-06,5208.0,188.0
ARG,South America,Argentina,2020-05-07,5371.0,163.0
ARG,South America,Argentina,2020-05-08,5611.0,240.0
ARG,South America,Argentina,2020-05-09,5776.0,165.0
ARG,South America,Argentina,2020-05-10,6034.0,258.0
ARG,South America,Argentina,2020-05-11,6278.0,244.0
ARG,South America,Argentina,2020-05-12,6563.0,285.0
ARG,South America,Argentina,2020-05-13,6879.0,316.0
ARG,South America,Argentina,2020-05-14,7134.0,255.0
ARG,South America,Argentina,2020-05-15,7479.0,345.0
ARG,South America,Argentina,2020-05-16,7805.0,326.0
ARG,South America,Argentina,2020-05-17,8068.0,263.0
ARG,South America,Argentina,2020-05-18,8371.0,303.0
ARG,South America,Argentina,2020-05-19,8809.0,438.0
ARG,South America,Argentina,2020-05-20,9283.0,474.0
ARG,South America,Argentina,2020-05-21,9931.0,648.0
ARG,South America,Argentina,2020-05-22,10649.0,718.0
ARG,South America,Argentina,2020-05-23,11353.0,704.0
ARG,South America,Argentina,2020-05-24,12076.0,723.0
ARG,South America,Argentina,2020-05-25,12628.0,552.0
ARG,South America,Argentina,2020-05-26,13228.0,600.0
ARG,South America,Argentina,2020-05-27,13933.0,705.0
ARG,South America,Argentina,2020-05-28,14702.0,769.0
ARG,South America,Argentina,2020-05-29,15419.0,717.0
ARG,South America,Argentina,2020-05-30,16214.0,795.0
ARG,South America,Argentina,2020-05-31,16851.0,637.0
ARG,South America,Argentina,2020-06-01,17415.0,564.0
ARG,South America,Argentina,2020-06-02,18319.0,904.0
ARG,South America,Argentina,2020-06-03,19268.0,949.0
ARG,South America,Argentina,2020-06-04,20197.0,929.0
ARG,South America,Argentina,2020-06-05,21037.0,840.0
ARG,South America,Argentina,2020-06-06,22020.0,983.0
ARG,South America,Argentina,2020-06-07,22794.0,774.0
ARG,South America,Argentina,2020-06-08,23620.0,826.0
ARG,South America,Argentina,2020-06-09,24761.0,1141.0
ARG,South America,Argentina,2020-06-10,25987.0,1226.0
ARG,South America,Argentina,2020-06-11,27373.0,1386.0
ARG,South America,Argentina,2020-06-12,28764.0,1391.0
ARG,South America,Argentina,2020-06-13,30295.0,1531.0
ARG,South America,Argentina,2020-06-14,31577.0,1282.0
ARG,South America,Argentina,2020-06-15,32785.0,1208.0
ARG,South America,Argentina,2020-06-16,34159.0,1374.0
ARG,South America,Argentina,2020-06-17,35552.0,1393.0
ARG,South America,Argentina,2020-06-18,37510.0,1958.0
ARG,South America,Argentina,2020-06-19,39570.0,2060.0
ARG,South America,Argentina,2020-06-20,41204.0,1634.0
ARG,South America,Argentina,2020-06-21,42785.0,1581.0
ARG,South America,Argentina,2020-06-22,44931.0,2146.0
ARG,South America,Argentina,2020-06-23,47203.0,2272.0
ARG,South America,Argentina,2020-06-24,49851.0,2648.0
ARG,South America,Argentina,2020-06-25,52457.0,2606.0
ARG,South America,Argentina,2020-06-26,55343.0,2886.0
ARG,South America,Argentina,2020-06-27,57744.0,2401.0
ARG,South America,Argentina,2020-06-28,59933.0,2189.0
ARG,South America,Argentina,2020-06-29,62268.0,2335.0
ARG,South America,Argentina,2020-06-30,64530.0,2262.0
ARG,South America,Argentina,2020-07-01,67197.0,2667.0
ARG,South America,Argentina,2020-07-02,69941.0,2744.0
ARG,South America,Argentina,2020-07-03,72786.0,2845.0
ARG,South America,Argentina,2020-07-04,75376.0,2590.0
ARG,South America,Argentina,2020-07-05,77815.0,2439.0
ARG,South America,Argentina,2020-07-06,80447.0,2632.0
ARG,South America,Argentina,2020-07-07,83426.0,2979.0
ARG,South America,Argentina,2020-07-08,87030.0,3604.0
ARG,South America,Argentina,2020-07-09,90693.0,3663.0
ARG,South America,Argentina,2020-07-10,94060.0,3367.0
ARG,South America,Argentina,2020-07-11,97509.0,3449.0
ARG,South America,Argentina,2020-07-12,100166.0,2657.0
ARG,South America,Argentina,2020-07-13,103265.0,3099.0
ARG,South America,Argentina,2020-07-14,106910.0,3645.0
ARG,South America,Argentina,2020-07-15,111146.0,4236.0
ARG,South America,Argentina,2020-07-16,114783.0,3637.0
ARG,South America,Argentina,2020-07-17,119301.0,4518.0
ARG,South America,Argentina,2020-07-18,122524.0,3223.0
ARG,South America,Argentina,2020-07-19,126755.0,4231.0
ARG,South America,Argentina,2020-07-20,130774.0,4019.0
ARG,South America,Argentina,2020-07-21,136118.0,5344.0
ARG,South America,Argentina,2020-07-22,141900.0,5782.0
ARG,South America,Argentina,2020-07-23,148027.0,6127.0
ARG,South America,Argentina,2020-07-24,153520.0,5493.0
ARG,South America,Argentina,2020-07-25,158334.0,4814.0
ARG,South America,Argentina,2020-07-26,162526.0,4192.0
ARG,South America,Argentina,2020-07-27,167416.0,4890.0
