iso_code,continent,location,date,total_cases,new_cases
AFG,Asia,Afghanistan,2020-02-24,5.0,5.0
AFG,Asia,Afghanistan,2020-02-25,5.0,0.0
AFG,Asia,Afghanistan,2020-02-26,5.0,0.0
AFG,Asia,Afghanistan,2020-02-27,5.0,0.0
AFG,Asia,Afghanistan,2020-02-28,5.0,0.0
AFG,Asia,Afghanistan,2020-02-29,5.0,0.0
AFG,Asia,Afghanistan,2020-03-01,5.0,0.0
AFG,Asia,Afghanistan,2020-03-02,5.0,0.0
AFG,Asia,Afghanistan,2020-03-03,5.0,0.0
AFG,Asia,Afghanistan,2020-03-04,5.0,0.0
AFG,Asia,Afghanistan,2020-03-05,5.0,0.0
AFG,Asia,Afghanistan,2020-03-06,5.0,0.0
AFG,Asia,Afghanistan,2020-03-07,8.0,3.0
AFG,Asia,Afghanistan,2020-03-08,8.0,0.0
AFG,Asia,Afghanistan,2020-03-09,8.0,0.0
AFG,Asia,Afghanistan,2020-03-10,8.0,0.0
AFG,Asia,Afghanistan,2020-03-11,11.0,3.0
AFG,Asia,Afghanistan,2020-03-12,11.0,0.0
AFG,Asia,Afghanistan,2020-03-13,11.0,0.0
AFG,Asia,Afghanistan,2020-03-14,14.0,3.0
AFG,Asia,Afghanistan,2020-03-15,20.0,6.0
AFG,Asia,Afghanistan,2020-03-16,25.0,5.0
AFG,Asia,Afghanistan,2020-03-17,26.0,1.0
AFG,Asia,Afghanistan,2020-03-18,26.0,0.0
AFG,Asia,Afghanistan,2020-03-19,26.0,0.0
AFG,Asia,Afghanistan,2020-03-20,24.0,
AFG,Asia,Afghanistan,2020-03-21,24.0,0.0
AFG,Asia,Afghanistan,2020-03-22,34.0,10.0
AFG,Asia,Afghanistan,2020-03-23,40.0,6.0
AFG,Asia,Afghanistan,2020-03-24,42.0,2.0
AFG,Asia,Afghanistan,2020-03-25,74.0,32.0
AFG,Asia,Afghanistan,2020-03-26,80.0,6.0
AFG,Asia,Afghanistan,2020-03-27,91.0,11.0
AFG,Asia,Afghanistan,2020-03-28,106.0,15.0
AFG,Asia,Afghanistan,2020-03-29,114.0,8.0
AFG,Asia,Afghanistan,2020-03-30,114.0,0.0
AFG,Asia,Afghanistan,2020-03-31,166.0,52.0
AFG,Asia,Afghanistan,2020-04-01,192.0,26.0
AFG,Asia,Afghanistan,2020-04-02,235.0,43.0
AFG,Asia,Afghanistan,2020-04-03,269.0,34.0
AFG,Asia,Afghanistan,2020-04-04,270.0,1.0
AFG,Asia,Afghanistan,2020-04-05,299.0,29.0
AFG,Asia,Afghanistan,2020-04-06,337.0,38.0
AFG,Asia,Afghanistan,2020-04-07,367.0,30.0
AFG,Asia,Afghanistan,2020-04-08,423.0,56.0
AFG,Asia,Afghanistan,2020-04-09,444.0,21.0
AFG,Asia,Afghanistan,2020-04-10,521.0,77.0
AFG,Asia,Afghanistan,2020-04-11,521.0,0.0
AFG,Asia,Afghanistan,2020-04-12,555.0,34.0
AFG,Asia,Afghanistan,2020-04-13,607.0,52.0
AFG,Asia,Afghanistan,2020-04-14,665.0,58.0
AFG,Asia,Afghanistan,2020-04-15,770.0,105.0
AFG,Asia,Afghanistan,2020-04-16,794.0,24.0
AFG,Asia,Afghanistan,2020-04-17,845.0,51.0
AFG,Asia,Afghanistan,2020-04-18,908.0,63.0
AFG,Asia,Afghanistan,2020-04-19,933.0,25.0
AFG,Asia,Afghanistan,2020-04-20,996.0,63.0
AFG,Asia,Afghanistan,2020-04-21,1026.0,30.0
AFG,Asia,Afghanistan,2020-04-22,1092.0,66.0
AFG,Asia,Afghanistan,2020-04-23,1176.0,84.0
AFG,Asia,Afghanistan,2020-04-24,1226.0,50.0
AFG,Asia,Afghanistan,2020-04-25,1330.0,104.0
AFG,Asia,Afghanistan,2020-04-26,1463.0,133.0
AFG,Asia,Afghanistan,2020-04-27,1531.0,68.0
AFG,Asia,Afghanistan,2020-04-28,1703.0,172.0
AFG,Asia,Afghanistan,2020-04-29,1827.0,124.0
AFG,Asia,Afghanistan,2020-04-30,1827.0,0.0
AFG,Asia,Afghanistan,2020-05-01,2171.0,344.0
AFG,Asia,Afghanistan,2020-05-02,2469.0,298.0
AFG,Asia,Afghanistan,2020-05-03,2469.0,0.0
AFG,Asia,Afghanistan,2020-05-04,2469.0,0.0
AFG,Asia,Afghanistan,2020-05-05,2469.0,0.0
AFG,Asia,Afghanistan,2020-05-06,3224.0,755.0
AFG,Asia,Afghanistan,2020-05-07,3392.0,168.0
AFG,Asia,Afghanistan,2020-05-08,3563.0,171.0
AFG,Asia,Afghanistan,2020-05-09,3563.0,0.0
AFG,Asia,Afghanistan,2020-05-10,4402.0,839.0
AFG,Asia,Afghanistan,2020-05-11,4664.0,262.0
AFG,Asia,Afghanistan,2020-05-12,4967.0,303.0
AFG,Asia,Afghanistan,2020-05-13,4967.0,0.0
AFG,Asia,Afghanistan,2020-05-14,5339.0,372.0
AFG,Asia,Afghanistan,2020-05-15,6053.0,714.0
AFG,Asia,Afghanistan,2020-05-16,6402.0,349.0
AFG,Asia,Afghanistan,2020-05-17,6635.0,233.0
AFG,Asia,Afghanistan,2020-05-18,7072.0,437.0
AFG,Asia,Afghanistan,2020-05-19,7655.0,583.0
AFG,Asia,Afghanistan,2020-05-20,8145.0,490.0
AFG,Asia,Afghanistan,2020-05-21,8676.0,531.0
AFG,Asia,Afghanistan,2020-05-22,9216.0,540.0
AFG,Asia,Afghanistan,2020-05-23,9952.0,736.0
AFG,Asia,Afghanistan,2020-05-24,10668.0,716.0
AFG,Asia,Afghanistan,2020-05-25,11180.0,512.0
AFG,Asia,Afghanistan,2020-05-26,11917.0,737.0
AFG,Asia,Afghanistan,2020-05-27,12465.0,548.0
AFG,Asia,Afghanistan,2020-05-28,13102.0,637.0
AFG,Asia,Afghanistan,2020-05-29,13745.0,643.0
AFG,Asia,Afghanistan,2020-05-30,14529.0,784.0
AFG,Asia,Afghanistan,2020-05-31,15180.0,651.0
AFG,Asia,Afghanistan,2020-06-01,15836.0,656.0
AFG,Asia,Afghanistan,2020-06-02,16578.0,742.0
AFG,Asia,Afghanistan,2020-06-03,17353.0,775.0
AFG,Asia,Afghanistan,2020-06-04,17977.0,624.0
AFG,Asia,Afghanistan,2020-06-05,19055.0,1078.0
AFG,Asia,Afghanistan,2020-06-06,19637.0,582.0
AFG,Asia,Afghanistan,2020-06-07,20428.0,791.0
AFG,Asia,Afghanistan,2020-06-08,21003.0,575.0
AFG,Asia,Afghanistan,2020-06-09,21308.0,305.0
AFG,Asia,Afghanistan,2020-06-10,22228.0,920.0
AFG,Asia,Afghanistan,2020-06-11,22976.0,748.0
AFG,Asia,Afghanistan,2020-06-12,23632.0,656.0
AFG,Asia,Afghanistan,2020-06-13,24188.0,556.0
AFG,Asia,Afghanistan,2020-06-14,24852.0,664.0
AFG,Asia,Afghanistan,2020-06-15,25613.0,761.0
AFG,Asia,Afghanistan,2020-06-16,25719.0,106.0
AFG,Asia,Afghanistan,2020-06-17,26960.0,1241.0
AFG,Asia,Afghanistan,2020-06-18,27423.0,463.0
AFG,Asia,Afghanistan,2020-06-19,27964.0,541.0
AFG,Asia,Afghanistan,2020-06-20,28383.0,419.0
AFG,Asia,Afghanistan,2020-06-21,28919.0,536.0
AFG,Asia,Afghanistan,2020-06-22,29229.0,310.0
AFG,Asia,Afghanistan,2020-06-23,29567.0,338.0
AFG,Asia,Afghanistan,2020-06-24,29726.0,159.0
AFG,Asia,Afghanistan,2020-06-25,30261.0,535.0
AFG,Asia,Afghanistan,2020-06-26,30346.0,85.0
AFG,Asia,Afghanistan,2020-06-27,30702.0,356.0
AFG,Asia,Afghanistan,2020-06-28,31053.0,351.0
AFG,Asia,Afghanistan,2020-06-29,31324.0,271.0
AFG,Asia,Afghanistan,2020-06-30,31445.0,121.0
AFG,Asia,Afghanistan,2020-07-01,31848.0,403.0
AFG,Asia,Afghanistan,2020-07-02,32108.0,260.0
AFG,Asia,Afghanistan,2020-07-03,32410.0,302.0
AFG,Asia,Afghanistan,2020-07-04,32758.0,348.0
AFG,Asia,Afghanistan,2020-07-05,33037.0,279.0
AFG,Asia,Afghanistan,2020-07-06,33150.0,113.0
AFG,Asia,Afghanistan,2020-07-07,33470.0,320.0
AFG,Asia,Afghanistan,2020-07-08,33680.0,210.0
AFG,Asia,Afghanistan,2020-07-09,33739.0,59.0
AFG,Asia,Afghanistan,2020-07-10,34280.0,541.0
AFG,Asia,Afghanistan,2020-07-11,34437.0,157.0
AFG,Asia,Afghanistan,2020-07-12,34537.0,100.0
AFG,Asia,Afghanistan,2020-07-13,34541.0,4.0
AFG,Asia,Afghanistan,2020-07-14,34826.0,285.0
AFG,Asia,Afghanistan,2020-07-15,35026.0,200.0
AFG,Asia,Afghanistan,2020-07-16,35156.0,130.0
AFG,Asia,Afghanistan,2020-07-17,35315.0,159.0
AFG,Asia,Afghanistan,2020-07-18,35375.0,60.0
AFG,Asia,Afghanistan,2020-07-19,35561.0,186.0
AFG,Asia,Afghanistan,2020-07-20,35595.0,34.0
AFG,Asia,Afghanistan,2020-07-21,35701.0,106.0
AFG,Asia,Afghanistan,2020-07-22,35813.0,112.0
AFG,Asia,Afghanistan,2020-07-23,36001.0,188.0
AFG,Asia,Afghanistan,2020-07-24,36067.0,66.0
AFG,Asia,Afghanistan,2020-07-25,36122.0,55.0
AFG,Asia,Afghanistan,2020-07-26,36243.0,121.0
AFG,Asia,Afghanistan,2020-07-27,36349.0,106.0
AFG,Asia,Afghanistan,2020-07-28,36454.0,105.0
AFG,Asia,Afghanistan,2020-07-29,36557.0,103.0
AFG,Asia,Afghanistan,2020-07-30,36628.0,71.0
AFG,Asia,Afghanistan,2020-07-31,36628.0,0.0
AFG,Asia,Afghanistan,2020-08-01,36796.0,168.0
AFG,Asia,Afghanistan,2020-08-02,36796.0,0.0
AFG,Asia,Afghanistan,2020-08-03,36796.0,0.0
AFG,Asia,Afghanistan,2020-08-04,36833.0,37.0
AFG,Asia,Afghanistan,2020-08-05,36915.0,82.0
AFG,Asia,Afghanistan,2020-08-06,36982.0,67.0
AFG,Asia,Afghanistan,2020-08-07,37023.0,41.0
AFG,Asia,Afghanistan,2020-08-08,37101.0,78.0
AFG,Asia,Afghanistan,2020-08-09,37140.0,39.0
AFG,Asia,Afghanistan,2020-08-10,37140.0,0.0
AFG,Asia,Afghanistan,2020-08-11,37355.0,215.0
AFG,Asia,Afghanistan,2020-08-12,37431.0,76.0
AFG,Asia,Afghanistan,2020-08-13,37510.0,79.0
AFG,Asia,Afghanistan,2020-08-14,37517.0,7.0
AFG,Asia,Afghanistan,2020-08-15,37637.0,120.0
AFG,Asia,Afghanistan,2020-08-16,37682.0,45.0
AFG,Asia,Afghanistan,2020-08-17,37682.0,0.0
AFG,Asia,Afghanistan,2020-08-18,37685.0,3.0
AFG,Asia,Afghanistan,2020-08-19,37685.0,0.0
AFG,Asia,Afghanistan,2020-08-20,37845.0,160.0
AFG,Asia,Afghanistan,2020-08-21,37942.0,97.0
AFG,Asia,Afghanistan,2020-08-22,37980.0,38.0
AFG,Asia,Afghanistan,2020-08-23,38039.0,59.0
AFG,Asia,Afghanistan,2020-08-24,38085.0,46.0
AFG,Asia,Afghanistan,2020-08-25,38156.0,71.0
AFG,Asia,Afghanistan,2020-08-26,38199.0,43.0
AFG,Asia,Afghanistan,2020-08-27,38215.0,16.0
AFG,Asia,Afghanistan,2020-08-28,38226.0,11.0
AFG,Asia,Afghanistan,2020-08-29,38229.0,3.0
AFG,Asia,Afghanistan,2020-08-30,38229.0,0.0
AFG,Asia,Afghanistan,2020-08-31,38248.0,19.0
AFG,Asia,Afghanistan,2020-09-01,38282.0,34.0
AFG,Asia,Afghanistan,2020-09-02,38329.0,47.0
AFG,Asia,Afghanistan,2020-09-03,38374.0,45.0
AFG,Asia,Afghanistan,2020-09-04,38374.0,0.0
AFG,Asia,Afghanistan,2020-09-05,38390.0,16.0
AFG,Asia,Afghanistan,2020-09-06,38484.0,94.0
AFG,Asia,Afghanistan,2020-09-07,38580.0,96.0
AFG,Asia,Afghanistan,2020-09-08,38606.0,26.0
AFG,Asia,Afghanistan,2020-09-09,38630.0,24.0
AFG,Asia,Afghanistan,2020-09-10,38658.0,28.0
AFG,Asia,Afghanistan,2020-09-11,38692.0,34.0
AFG,Asia,Afghanistan,2020-09-12,38727.0,35.0
AFG,Asia,Afghanistan,2020-09-13,38802.0,75.0
AFG,Asia,Afghanistan,2020-09-14,38858.0,56.0
AFG,Asia,Afghanistan,2020-09-15,38901.0,43.0
AFG,Asia,Afghanistan,2020-09-16,38941.0,40.0
AFG,Asia,Afghanistan,2020-09-17,38958.0,17.0
AFG,Asia,Afghanistan,2020-09-18,38969.0,11.0
AFG,Asia,Afghanistan,2020-09-19,39005.0,36.0
AFG,Asia,Afghanistan,2020-09-20,39130.0,125.0
AFG,Asia,Afghanistan,2020-09-21,39160.0,30.0
AFG,Asia,Afghanistan,2020-09-22,39182.0,22.0
AFG,Asia,Afghanistan,2020-09-23,39231.0,49.0
AFG,Asia,Afghanistan,2020-09-24,39256.0,25.0
AFG,Asia,Afghanistan,2020-09-25,39272.0,16.0
AFG,Asia,Afghanistan,2020-09-26,39278.0,6.0
AFG,Asia,Afghanistan,2020-09-27,39313.0,35.0
AFG,Asia,Afghanistan,2020-09-28,39325.0,12.0
AFG,Asia,Afghanistan,2020-09-29,39340.0,15.0
AFG,Asia,Afghanistan,2020-09-30,39354.0,14.0
AFG,Asia,Afghanistan,2020-10-01,39371.0,17.0
AFG,Asia,Afghanistan,2020-10-02,39376.0,5.0
AFG,Asia,Afghanistan,2020-10-03,39383.0,7.0
AFG,Asia,Afghanistan,2020-10-04,39427.0,44.0
AFG,Asia,Afghanistan,2020-10-05,39508.0,81.0
AFG,Asia,Afghanistan,2020-10-06,39572.0,64.0
AFG,Asia,Afghanistan,2020-10-07,39634.0,62.0
AFG,Asia,Afghanistan,2020-10-08,39702.0,68.0
AFG,Asia,Afghanistan,2020-10-09,39779.0,77.0
AFG,Asia,Afghanistan,2020-10-10,39789.0,10.0
AFG,Asia,Afghanistan,2020-10-11,39885.0,96.0
AFG,Asia,Afghanistan,2020-10-12,39956.0,71.0
AFG,Asia,Afghanistan,2020-10-13,40014.0,58.0
AFG,Asia,Afghanistan,2020-10-14,40080.0,66.0
AFG,Asia,Afghanistan,2020-10-15,40112.0,32.0
AFG,Asia,Afghanistan,2020-10-16,40159.0,47.0
AFG,Asia,Afghanistan,2020-10-17,40227.0,68.0
AFG,Asia,Afghanistan,2020-10-18,40286.0,59.0
AFG,Asia,Afghanistan,2020-10-19,40373.0,87.0
AFG,Asia,Afghanistan,2020-10-20,40461.0,88.0
AFG,Asia,Afghanistan,2020-10-21,40461.0,0.0
AFG,Asia,Afghanistan,2020-10-22,40510.0,49.0
AFG,Asia,Afghanistan,2020-10-23,40626.0,116.0
AFG,Asia,Afghanistan,2020-10-24,40687.0,61.0
AFG,Asia,Afghanistan,2020-10-25,40768.0,81.0
AFG,Asia,Afghanistan,2020-10-26,40833.0,65.0
AFG,Asia,Afghanistan,2020-10-27,40937.0,104.0
AFG,Asia,Afghanistan,2020-10-28,41032.0,95.0
AFG,Asia,Afghanistan,2020-10-29,41145.0,113.0
AFG,Asia,Afghanistan,2020-10-30,41268.0,123.0
AFG,Asia,Afghanistan,2020-10-31,41334.0,66.0
AFG,Asia,Afghanistan,2020-11-01,41425.0,91.0
AFG,Asia,Afghanistan,2020-11-02,41501.0,76.0
AFG,Asia,Afghanistan,2020-11-03,41633.0,132.0
AFG,Asia,Afghanistan,2020-11-04,41728.0,95.0
AFG,Asia,Afghanistan,2020-11-05,41814.0,86.0
AFG,Asia,Afghanistan,2020-11-06,41935.0,121.0
AFG,Asia,Afghanistan,2020-11-07,41975.0,40.0
AFG,Asia,Afghanistan,2020-11-08,42033.0,58.0
AFG,Asia,Afghanistan,2020-11-09,42159.0,126.0
AFG,Asia,Afghanistan,2020-11-10,42297.0,138.0
