iso_code,continent,location,date,total_cases,new_cases
AUS,Oceania,Australia,2020-01-26,4.0,4.0
AUS,Oceania,Australia,2020-01-27,5.0,1.0
AUS,Oceania,Australia,2020-01-28,5.0,0.0
AUS,Oceania,Australia,2020-01-29,6.0,1.0
AUS,Oceania,Australia,2020-01-30,9.0,3.0
AUS,Oceania,Australia,2020-01-31,9.0,0.0
AUS,Oceania,Australia,2020-02-01,12.0,3.0
AUS,Oceania,Australia,2020-02-02,12.0,0.0
AUS,Oceania,Australia,2020-02-03,12.0,0.0
AUS,Oceania,Australia,2020-02-04,13.0,1.0
AUS,Oceania,Australia,2020-02-05,13.0,0.0
AUS,Oceania,Australia,2020-02-06,14.0,1.0
AUS,Oceania,Australia,2020-02-07,15.0,1.0
AUS,Oceania,Australia,2020-02-08,15.0,0.0
AUS,Oceania,Australia,2020-02-09,15.0,0.0
AUS,Oceania,Australia,2020-02-10,15.0,0.0
AUS,Oceania,Australia,2020-02-11,15.0,0.0
AUS,Oceania,Australia,2020-02-12,15.0,0.0
AUS,Oceania,Australia,2020-02-13,15.0,0.0
AUS,Oceania,Australia,2020-02-14,15.0,0.0
AUS,Oceania,Australia,2020-02-15,15.0,0.0
AUS,Oceania,Australia,2020-02-16,15.0,0.0
AUS,Oceania,Australia,2020-02-17,15.0,0.0
AUS,Oceania,Australia,2020-02-18,15.0,0.0
AUS,Oceania,Australia,2020-02-19,15.0,0.0
AUS,Oceania,Australia,2020-02-20,15.0,0.0
AUS,Oceania,Australia,2020-02-21,15.0,0.0
AUS,Oceania,Australia,2020-02-22,15.0,0.0
AUS,Oceania,Australia,2020-02-23,15.0,0.0
AUS,Oceania,Australia,2020-02-24,15.0,0.0
AUS,Oceania,Australia,2020-02-25,15.0,0.0
AUS,Oceania,Australia,2020-02-26,15.0,0.0
AUS,Oceania,Australia,2020-02-27,15.0,0.0
AUS,Oceania,Australia,2020-02-28,15.0,0.0
AUS,Oceania,Australia,2020-02-29,25.0,10.0
AUS,Oceania,Australia,2020-03-01,27.0,2.0
AUS,Oceania,Australia,2020-03-02,30.0,3.0
AUS,Oceania,Australia,2020-03-03,39.0,9.0
AUS,Oceania,Australia,2020-03-04,52.0,13.0
AUS,Oceania,Australia,2020-03-05,55.0,3.0
AUS,Oceania,Australia,2020-03-06,60.0,5.0
AUS,Oceania,Australia,2020-03-07,63.0,3.0
AUS,Oceania,Australia,2020-03-08,76.0,13.0
AUS,Oceania,Australia,2020-03-09,91.0,15.0
AUS,Oceania,Australia,2020-03-10,107.0,16.0
AUS,Oceania,Australia,2020-03-11,128.0,21.0
AUS,Oceania,Australia,2020-03-12,128.0,0.0
AUS,Oceania,Australia,2020-03-13,200.0,72.0
AUS,Oceania,Australia,2020-03-14,250.0,50.0
AUS,Oceania,Australia,2020-03-15,297.0,47.0
AUS,Oceania,Australia,2020-03-16,377.0,80.0
AUS,Oceania,Australia,2020-03-17,452.0,75.0
AUS,Oceania,Australia,2020-03-18,568.0,116.0
AUS,Oceania,Australia,2020-03-19,681.0,113.0
AUS,Oceania,Australia,2020-03-20,791.0,110.0
AUS,Oceania,Australia,2020-03-21,1071.0,280.0
AUS,Oceania,Australia,2020-03-22,1549.0,478.0
AUS,Oceania,Australia,2020-03-23,1682.0,133.0
AUS,Oceania,Australia,2020-03-24,2044.0,362.0
AUS,Oceania,Australia,2020-03-25,2364.0,320.0
AUS,Oceania,Australia,2020-03-26,2810.0,446.0
AUS,Oceania,Australia,2020-03-27,3143.0,333.0
AUS,Oceania,Australia,2020-03-28,3640.0,497.0
AUS,Oceania,Australia,2020-03-29,3984.0,344.0
AUS,Oceania,Australia,2020-03-30,4361.0,377.0
AUS,Oceania,Australia,2020-03-31,4559.0,198.0
AUS,Oceania,Australia,2020-04-01,4862.0,303.0
AUS,Oceania,Australia,2020-04-02,5116.0,254.0
AUS,Oceania,Australia,2020-04-03,5330.0,214.0
AUS,Oceania,Australia,2020-04-04,5550.0,220.0
AUS,Oceania,Australia,2020-04-05,5687.0,137.0
AUS,Oceania,Australia,2020-04-06,5797.0,110.0
AUS,Oceania,Australia,2020-04-07,5895.0,98.0
AUS,Oceania,Australia,2020-04-08,6010.0,115.0
AUS,Oceania,Australia,2020-04-09,6108.0,98.0
AUS,Oceania,Australia,2020-04-10,6215.0,107.0
AUS,Oceania,Australia,2020-04-11,6303.0,88.0
AUS,Oceania,Australia,2020-04-12,6315.0,12.0
AUS,Oceania,Australia,2020-04-13,6351.0,36.0
AUS,Oceania,Australia,2020-04-14,6415.0,64.0
AUS,Oceania,Australia,2020-04-15,6440.0,25.0
AUS,Oceania,Australia,2020-04-16,6462.0,22.0
AUS,Oceania,Australia,2020-04-17,6522.0,60.0
AUS,Oceania,Australia,2020-04-18,6568.0,46.0
AUS,Oceania,Australia,2020-04-19,6610.0,42.0
AUS,Oceania,Australia,2020-04-20,6623.0,13.0
AUS,Oceania,Australia,2020-04-21,6645.0,22.0
AUS,Oceania,Australia,2020-04-22,6652.0,7.0
AUS,Oceania,Australia,2020-04-23,6662.0,10.0
AUS,Oceania,Australia,2020-04-24,6677.0,15.0
AUS,Oceania,Australia,2020-04-25,6694.0,17.0
AUS,Oceania,Australia,2020-04-26,6714.0,20.0
AUS,Oceania,Australia,2020-04-27,6721.0,7.0
AUS,Oceania,Australia,2020-04-28,6744.0,23.0
AUS,Oceania,Australia,2020-04-29,6752.0,8.0
AUS,Oceania,Australia,2020-04-30,6766.0,14.0
AUS,Oceania,Australia,2020-05-01,6778.0,12.0
AUS,Oceania,Australia,2020-05-02,6799.0,21.0
AUS,Oceania,Australia,2020-05-03,6822.0,23.0
AUS,Oceania,Australia,2020-05-04,6847.0,25.0
AUS,Oceania,Australia,2020-05-05,6875.0,28.0
AUS,Oceania,Australia,2020-05-06,6894.0,19.0
AUS,Oceania,Australia,2020-05-07,6913.0,19.0
AUS,Oceania,Australia,2020-05-08,6918.0,5.0
AUS,Oceania,Australia,2020-05-09,6939.0,21.0
AUS,Oceania,Australia,2020-05-10,6948.0,9.0
AUS,Oceania,Australia,2020-05-11,6970.0,22.0
AUS,Oceania,Australia,2020-05-12,6980.0,10.0
AUS,Oceania,Australia,2020-05-13,6989.0,9.0
AUS,Oceania,Australia,2020-05-14,7019.0,30.0
AUS,Oceania,Australia,2020-05-15,7035.0,16.0
AUS,Oceania,Australia,2020-05-16,7044.0,9.0
AUS,Oceania,Australia,2020-05-17,7054.0,10.0
AUS,Oceania,Australia,2020-05-18,7068.0,14.0
AUS,Oceania,Australia,2020-05-19,7072.0,4.0
AUS,Oceania,Australia,2020-05-20,7081.0,9.0
AUS,Oceania,Australia,2020-05-21,7095.0,14.0
AUS,Oceania,Australia,2020-05-22,7099.0,4.0
AUS,Oceania,Australia,2020-05-23,7114.0,15.0
AUS,Oceania,Australia,2020-05-24,7114.0,0.0
AUS,Oceania,Australia,2020-05-25,7126.0,12.0
AUS,Oceania,Australia,2020-05-26,7139.0,13.0
AUS,Oceania,Australia,2020-05-27,7150.0,11.0
AUS,Oceania,Australia,2020-05-28,7165.0,15.0
AUS,Oceania,Australia,2020-05-29,7184.0,19.0
AUS,Oceania,Australia,2020-05-30,7192.0,8.0
AUS,Oceania,Australia,2020-05-31,7202.0,10.0
AUS,Oceania,Australia,2020-06-01,7221.0,19.0
AUS,Oceania,Australia,2020-06-02,7229.0,8.0
AUS,Oceania,Australia,2020-06-03,7240.0,11.0
AUS,Oceania,Australia,2020-06-04,7247.0,7.0
AUS,Oceania,Australia,2020-06-05,7252.0,5.0
AUS,Oceania,Australia,2020-06-06,7259.0,7.0
AUS,Oceania,Australia,2020-06-07,7265.0,6.0
AUS,Oceania,Australia,2020-06-08,7267.0,2.0
AUS,Oceania,Australia,2020-06-09,7274.0,7.0
AUS,Oceania,Australia,2020-06-10,7285.0,11.0
AUS,Oceania,Australia,2020-06-11,7289.0,4.0
AUS,Oceania,Australia,2020-06-12,7294.0,5.0
AUS,Oceania,Australia,2020-06-13,7320.0,26.0
AUS,Oceania,Australia,2020-06-14,7335.0,15.0
AUS,Oceania,Australia,2020-06-15,7347.0,12.0
AUS,Oceania,Australia,2020-06-16,7370.0,23.0
AUS,Oceania,Australia,2020-06-17,7391.0,21.0
AUS,Oceania,Australia,2020-06-18,7409.0,18.0
AUS,Oceania,Australia,2020-06-19,7411.0,2.0
AUS,Oceania,Australia,2020-06-20,7461.0,50.0
AUS,Oceania,Australia,2020-06-21,7474.0,13.0
AUS,Oceania,Australia,2020-06-22,7492.0,18.0
AUS,Oceania,Australia,2020-06-23,7521.0,29.0
AUS,Oceania,Australia,2020-06-24,7558.0,37.0
AUS,Oceania,Australia,2020-06-25,7595.0,37.0
AUS,Oceania,Australia,2020-06-26,7601.0,6.0
AUS,Oceania,Australia,2020-06-27,7686.0,85.0
AUS,Oceania,Australia,2020-06-28,7764.0,78.0
AUS,Oceania,Australia,2020-06-29,7834.0,70.0
AUS,Oceania,Australia,2020-06-30,7920.0,86.0
AUS,Oceania,Australia,2020-07-01,8001.0,81.0
AUS,Oceania,Australia,2020-07-02,8066.0,65.0
AUS,Oceania,Australia,2020-07-03,8260.0,194.0
AUS,Oceania,Australia,2020-07-04,8443.0,183.0
AUS,Oceania,Australia,2020-07-05,8583.0,140.0
AUS,Oceania,Australia,2020-07-06,8755.0,172.0
AUS,Oceania,Australia,2020-07-07,8886.0,131.0
AUS,Oceania,Australia,2020-07-08,9056.0,170.0
AUS,Oceania,Australia,2020-07-09,9374.0,318.0
AUS,Oceania,Australia,2020-07-10,9553.0,179.0
AUS,Oceania,Australia,2020-07-11,9797.0,244.0
AUS,Oceania,Australia,2020-07-12,9980.0,183.0
AUS,Oceania,Australia,2020-07-13,10251.0,271.0
AUS,Oceania,Australia,2020-07-14,10487.0,236.0
AUS,Oceania,Australia,2020-07-15,10810.0,323.0
AUS,Oceania,Australia,2020-07-16,11233.0,423.0
AUS,Oceania,Australia,2020-07-17,11441.0,208.0
AUS,Oceania,Australia,2020-07-18,11802.0,361.0
AUS,Oceania,Australia,2020-07-19,12069.0,267.0
AUS,Oceania,Australia,2020-07-20,12428.0,359.0
AUS,Oceania,Australia,2020-07-21,12894.0,466.0
AUS,Oceania,Australia,2020-07-22,13302.0,408.0
AUS,Oceania,Australia,2020-07-23,13595.0,293.0
AUS,Oceania,Australia,2020-07-24,13950.0,355.0
AUS,Oceania,Australia,2020-07-25,14403.0,453.0
AUS,Oceania,Australia,2020-07-26,14935.0,532.0
AUS,Oceania,Australia,2020-07-27,15303.0,368.0
AUS,Oceania,Australia,2020-07-28,15582.0,279.0
AUS,Oceania,Australia,2020-07-29,16298.0,716.0
AUS,Oceania,Australia,2020-07-30,16903.0,605.0
AUS,Oceania,Australia,2020-07-31,17280.0,377.0
AUS,Oceania,Australia,2020-08-01,17895.0,615.0
AUS,Oceania,Australia,2020-08-02,18318.0,423.0
AUS,Oceania,Australia,2020-08-03,18730.0,412.0
AUS,Oceania,Australia,2020-08-04,19445.0,715.0
AUS,Oceania,Australia,2020-08-05,19890.0,445.0
AUS,Oceania,Australia,2020-08-06,20272.0,382.0
AUS,Oceania,Australia,2020-08-07,20698.0,426.0
AUS,Oceania,Australia,2020-08-08,21084.0,386.0
AUS,Oceania,Australia,2020-08-09,21397.0,313.0
AUS,Oceania,Australia,2020-08-10,21713.0,316.0
AUS,Oceania,Australia,2020-08-11,22127.0,414.0
AUS,Oceania,Australia,2020-08-12,22358.0,231.0
AUS,Oceania,Australia,2020-08-13,22742.0,384.0
AUS,Oceania,Australia,2020-08-14,23035.0,293.0
AUS,Oceania,Australia,2020-08-15,23287.0,252.0
AUS,Oceania,Australia,2020-08-16,23558.0,271.0
AUS,Oceania,Australia,2020-08-17,23773.0,215.0
AUS,Oceania,Australia,2020-08-18,23989.0,216.0
AUS,Oceania,Australia,2020-08-19,24236.0,247.0
AUS,Oceania,Australia,2020-08-20,24407.0,171.0
AUS,Oceania,Australia,2020-08-21,24602.0,195.0
AUS,Oceania,Australia,2020-08-22,24811.0,209.0
AUS,Oceania,Australia,2020-08-23,24915.0,104.0
AUS,Oceania,Australia,2020-08-24,25053.0,138.0
AUS,Oceania,Australia,2020-08-25,25204.0,151.0
AUS,Oceania,Australia,2020-08-26,25322.0,118.0
AUS,Oceania,Australia,2020-08-27,25448.0,126.0
AUS,Oceania,Australia,2020-08-28,25547.0,99.0
AUS,Oceania,Australia,2020-08-29,25670.0,123.0
AUS,Oceania,Australia,2020-08-30,25746.0,76.0
AUS,Oceania,Australia,2020-08-31,25819.0,73.0
AUS,Oceania,Australia,2020-09-01,25923.0,104.0
AUS,Oceania,Australia,2020-09-02,26049.0,126.0
AUS,Oceania,Australia,2020-09-03,26136.0,87.0
AUS,Oceania,Australia,2020-09-04,26207.0,71.0
AUS,Oceania,Australia,2020-09-05,26278.0,71.0
AUS,Oceania,Australia,2020-09-06,26321.0,43.0
AUS,Oceania,Australia,2020-09-07,26373.0,52.0
AUS,Oceania,Australia,2020-09-08,26465.0,92.0
